nvertices,avgdegree,alpha,beta
625,4,0.0025,155261
625,4,0.0050,234.9
625,4,0.0075,24.61
625,4,0.0100,8.32
625,4,0.0125,4.13
625,4,0.0150,2.589
625,4,0.0175,1.83
625,4,0.0200,1.365
625,4,0.0225,1.087
625,4,0.0250,0.894
625,4,0.02750,0.75
625,4,0.003,0.637
625,4,0.1,0.075
625,4,0.5,0.0123
625,4,1.0,0.0093
625,6,0.0025,3063600
625,6,0.0050,1068.6
625,6,0.0075,70.1
625,6,0.0100,18.03
625,6,0.0125,8.05
625,6,0.0150,4.42
625,6,0.0175,2.95
625,6,0.0200,2.14
625,6,0.0225,1.67
625,6,0.0250,1.35
625,6,0.02750,1.115
625,6,0.003,0.942
625,6,0.1,0.112
625,6,0.5,0.0192
625,6,1.0,0.014
22500,6,0.0025,4.105
22500,6,0.0050,0.866
22500,6,0.0075,0.389
22500,6,0.0100,0.22
22500,6,0.0125,0.142
22500,6,0.0150,0.0997
22500,6,0.0175,0.0739
22500,6,0.0200,0.05699
22500,6,0.0225,0.0455
22500,6,0.0250,0.0372
